Column1,Column2,Column3,Column4
2.73,15.1,71.2,0.0
3.225,7.065,77.65,0.0
2.3,12.0,73.0,0.0
4.74,9.42,74.26,0.0
4.3,11.0,73.0,0.0
1.52,11.4,74.4,0.0
0.36,2.27,17.8,0.0
0.32,0.0,99.6,0.0
0.0,0.3,82.0,0.0
6.0,20.0,61.0,0.0
54.0,20.0,21.0,0.0
0.0,0.0,0.0,100.0
0.0,0.0,0.0,100.0
100.0,0.0,0.0,0.0
0.42,0.7,3.84,100.0
0.0,0.0,0.0,100.0
0.15,0.91,11.8,100.0
0.15,0.91,11.8,100.0
0.29,0.74,23.0,100.0
0.1,0.1,14.7,100.0
0.21,0.46,14.1,100.0
0.4,2.5,75.0,100.0
0.4,0.6,17.0,100.0
0.0,0.0,0.0,100.0
5.56,27.7,0.0,0.0
3.0,27.0,0.0,0.0
3.05,32.1,0.0,0.0
3.87,28.93,0.0,0.0
6.56,23.7,0.0,0.0
81.5,0.0,0.0,0.0
35.6,2.0,3.8,0.0
100.0,0.0,0.0,0.0
9.96,12.4,1.0,0.0
3.2,3.27,4.63,0.0
2.0,20.0,0.0,0.0
0.0,0.0,100.0,0.0
0.0,0.0,100.0,0.0
6.0,20.0,61.0,0.0
43.8,18.2,30.2,0.0
0.0,0.0,0.0,100.0
0.0,0.0,0.0,100.0
3.87,28.93,0.0,0.0
4.83,16.9,0.73,0.0
100.0,0.0,0.0,0.0
4.4,20.5,0.0,0.0
1.63,10.3,75.9,0.0
0.0,13.2,69.9,0.0
0.28,1.36,38.1,0.0
0.0,1.58,17.3,100.0
0.75,1.82,17.8,0.0
1.12,25.6,41.3,0.0
0.28,1.97,7.41,100.0
6.8,13.0,11.0,0.0
49.4,24.0,22.7,0.0
0.1,0.94,9.93,100.0
0.3,1.1,9.32,100.0
0.27,0.57,9.1,100.0
0.29,0.74,23.0,100.0
0.13,0.9,6.65,100.0
36.5,40.9,2.1,0.0
1.33,18.6,0.0,0.0
0.6,19.0,0.08,0.0
1.0,18.8,0.04,0.0
1.08,18.1,0.04,0.0
0.8,12.3,0.0,0.0
1.04,14.9,2.2,0.0
0.9,13.9,1.2,0.0
0.0,0.0,0.0,100.0
3.0,11.0,72.0,0.0
0.2,1.5,28.0,0.0
0.0,0.0,73.0,0.0
0.0,0.0,73.0,0.0
0.5,26.5,0.0,0.0
0.2,1.6,9.6,0.0
